jul,tmax,tmin,rhmax,rhmin,rs,u1
1,56.54,27.32,83.4,17.7,9.7230144,2.24011744
2,56.6,24.56,84,24.96,10.8385728,0.61199776
3,61.47,27.7,77.1,17.18,10.8807072,0.8963152
4,67.36,29.32,81.8,19.62,11.01012,2.00005696
5,69.39,24.81,93.6,17.68,10.9930656,0.67190112
6,61.2,38.29,73.2,30.26,9.6186816,5.04171712
7,60.83,33.82,85.6,39.94,7.0394544,1.78100736
8,62.99,35.82,90.5,45.93,6.8508528,0.54896512
9,64.44,35.76,93.9,21.81,11.2569072,1.68176448
10,64.5,27.76,91.7,26.91,11.13552,1.12251744
11,65.17,27.58,91.1,28.02,9.4009872,0.8404352
12,61.39,30.62,88,25.37,11.3692656,1.80961792
13,63.96,30.75,81.6,17.37,11.3993616,1.5378176
14,66.88,26.11,85.4,21.64,11.3150928,0.8784336
15,73.6,25.08,89.3,8.8,11.8046544,1.27898144
16,57.36,31.28,61.66,20.9,11.76252,2.72649696
17,58.44,23.69,72.8,20.59,11.3441856,1.028192
18,62.27,24.13,80.1,18,11.7294144,0.5900928
19,69.34,23.82,81.3,15.19,11.8548144,0.66921888
20,70.8,26.18,84.1,16.39,11.9551344,1.36034272
21,65.18,31.28,90.4,25.68,11.9511216,1.90349632
22,66.58,33.5,83.1,20.44,12.0845472,1.54139392
23,62.52,27.74,86.2,27.05,11.1184656,1.56106368
24,68.62,33.74,77.5,20.61,11.8337472,0.85965792
25,70.6,29.48,84,18.13,10.73424,0.80064864
26,65.48,33.5,74.4,20.67,12.4607472,0.67771264
27,67.6,26.53,79.3,14.48,12.6613872,0.72688704
28,73.1,24.55,83.5,8.1,13.1338944,1.50831296
29,70.3,28.21,72.2,13.91,12.6864672,0.56952896
30,71.5,27.79,80.6,11.27,12.9162,0.44972224
31,71,28.4,72.8,13.32,13.0335744,0.50157888
32,75.8,29.17,78.6,11.77,13.2964128,0.72733408
33,76.2,31.55,75,13.19,11.1937056,2.80025856
34,57.97,28.71,65.43,12.46,13.9023456,1.68042336
35,64.24,22.69,73,11.42,11.5498416,0.76935584
36,59.95,35.86,61.71,25.27,6.9852816,1.82437024
